"scientific_name"	"DE-14644-S2_cleaned_nohuman_nofp_noMouse"	"DE-14645-S2_cleaned_nohuman_nofp_noMouse"	"DE-14646-S2_cleaned_nohuman_nofp_noMouse"	"DE-14647-S2_bleu_CB_2603_S4"	"DE-14648-S2_bleu_CB_2803_S5"	"DE-14649-S2_bleu_CB_3103_S6"	"DE-14650-S2_bleu_M9_CA_1703_S7"	"DE-14651-S2_bleu_M9_CA_2203_S8"	"DE-14652-S2_bleu_M9_CA_2403_S9"	"DE-14653-S2_bleu_M9_CA_2603_S10"	"DE-14654-S2_bleu_M9_CA_2803_S11"	"DE-14655-S2_bleu_M9_CA_3103_S12"	"DE-14656-S5_SM_CB_1703_S13"	"DE-14657-S5_SM_CB_2203_S14"	"DE-14658-S5_SM_CB_2403_S15"	"DE-14659-S5_SM_CB_2603_S16"	"DE-14660-S5_SM_CB_2803_S17"	"DE-14661-S5_SM_CB_3103_S18"	"DE-14662-S5_SM_M12_CA_1703_S19"	"DE-14663-S5_SM_M12_CA_2203_S20"	"DE-14664-S5_SM_M12_CA_2403_S21"	"DE-14665-S5_SM_M12_CA_2603_S22"	"DE-14666-S5_SM_M12_CA_2803_S23"	"DE-14667-S5_SM_M12_CA_3103_S24"	"DE-14668-S3_noir_M10_CA_1703_S25"	"DE-14669-S3_noir_M10_CA_2203_S26"	"DE-14670-S3_noir_M10_CA_2403_S27"	"DE-14671-S3_noir_M10_CA_2603_S28"	"DE-14672-S3_noir_M10_CA_2803_S29"	"DE-14673-S3_noir_M10_CA_3103_S30"	"DE-14674-S2_bleu_CF_1703_S31"	"DE-14675-S2_bleu_CF_2203_S32"	"DE-14676-S2_bleu_CF_2403_S33"	"DE-14677-S2_bleu_CF_2603_S34"	"DE-14678-S2_bleu_CF_2803_S35"	"DE-14679-S2_bleu_CF_3103_S36"	"DE-14680-S2_bleu_M9_CE_1703_S37"	"DE-14681-S2_bleu_M9_CE_2203_S38"	"DE-14682-S2_bleu_M9_CE_2403_S39"	"DE-14683-S2_bleu_M9_CE_2603_S40"	"DE-14684-S2_bleu_M9_CE_2803_S41"	"DE-14685-S2_bleu_M9_CE_3103_S42"	"DE-14686-S5_SM_CF_1703_S43"	"DE-14687-S5_SM_CF_2203_S44"	"DE-14688-S5_SM_CF_2403_S45"	"DE-14689-S5_SM_CF_2603_S46"	"DE-14690-S5_SM_CF_2803_S47"	"DE-14691-S5_SM_CF_3103_S48"	"DE-14692-S5_SM_M12_CE_1703_S49"	"DE-14693-S5_SM_M12_CE_2203_S50"	"DE-14694-S5_SM_M12_CE_2403_S51"	"DE-14695-S5_SM_M12_CE_2603_S52"	"DE-14696-S5_SM_M12_CE_2803_S53"	"DE-14697-S5_SM_M12_CE_3103_S54"	"DE-14698-S3_noir_M10_CE_1703_S55"	"DE-14699-S3_noir_M10_CE_2203_S56"	"DE-14700-S3_noir_M10_CE_2403_S57"	"DE-14701-S3_noir_M10_CE_2603_S58"	"DE-14702-S3_noir_M10_CE_2803_S59"	"DE-14703-S3_noir_M10_CE_3103_S60"	"DE-14704-S4_rose_CD_1703_S61"	"DE-14705-S4_rose_CD_2203_S62"	"DE-14706-S4_rose_CD_2403_S63"	"DE-14707-S4_rose_CD_2603_S64"	"DE-14708-S4_rose_CD_2803_S65"	"DE-14709-S4_rose_CD_3103_S66"	"DE-14710-S3_noir_CD_1703_S67"	"DE-14711-S3_noir_CD_2203_S68"	"DE-14712-S3_noir_CD_2403_S69"	"DE-14713-S3_noir_CD_2603_S70"	"DE-14714-S3_noir_CD_2803_S71"	"DE-14715-S3_noir_CD_3103_S72"	"DE-14716-S5_SM_M12_CC_1703_S73"	"DE-14717-S5_SM_M12_CC_2203_S74"	"DE-14718-S5_SM_M12_CC_2403_S75"	"DE-14719-S5_SM_M12_CC_2603_S76"	"DE-14720-S5_SM_M12_CC_3103_S78"	"DE-14721-S5_SM_M12_CC_2803_S77"	"DE-14722-S2_bleu_M9_CC_1703_S79"	"DE-14723-S2_bleu_M9_CC_2203_S80"	"DE-14724-S2_bleu_M9_CC_2403_S81"	"DE-14725-S2_bleu_M9_CC_2603_S82"	"DE-14726-S2_bleu_M9_CC_2803_S83"	"DE-14727-S2_bleu_M9_CC_3103_S84"	"DE-14728-S3_noir_M10_CC_1703_S85"	"DE-14729-S3_noir_M10_CC_2203_S86"	"DE-14730-S3_noir_M10_CC_2403_S87"	"DE-14732-S3_noir_M10_CC_2803_S88"	"DE-14733-S3_noir_M10_CC_3103_S89"
"Lactobacillus johnsonii"	21,437	6,598	645	22,616	3,561	96,307	7,936	5,155	13,130	362	22,325	14,048	36,374	17,467	581	132,213	28,733	20,322	1,074	33,883	13,602	17,775	95,980	11,883	41,844	600	673	7,119	24,927	54,749	20,692	9,248	25,275	35,394	3,833	247,176	99,501	562	18,737	8,745	3,117	4,982	28,485	8,356	34,785	8,487	565	12,263	30,351	406	593	11,217	4,875	14,739	612,889	292	6,381	211,833	97,691	119,859	18,992	373	408	28,384	11,456	9,443	6,116	5	115,750	530	37,724	42,600	26,470	85	26	72	9,672	774	14,033	3,596	5,639	60	89,464	12,751	123,634	22,850	1,027	4,971	12,932
"Muribaculum intestinale"	184,147	74,966	188	0	1,882	2,096	232,440	46,037	701	69	6,852	53,833	504,182	316,454	946	62	1,831	2,003	335,660	107,402	172	754	5,606	32,521	413,005	36,880	1,956	66	2,088	132,497	936,871	26,057	2,052	1	1,358	36,975	894,868	52,390	5,955	7	950	919	610,167	215,067	3,499	17	1,578	9,366	629,575	20,500	1,704	8	1,010	1,982	932,801	19,000	4,559	9	1,268	1,167	701,880	353	107	86	153	1,509	869,093	928	22	207	1,080	898	875,511	106	115	14	1,524	1,366	265,731	54,762	1,400	18	1,863	225	892,385	253,173	20,325	574	1,394
"Limnobacter profundi"	0	0	0	0	0	1	0	2	2	0	1	3	0	0	2	0	2	0	0	0	18	314	129	31	43	177	130	81	37	138	146	80	44	55	13	318	25	51	573	62	15	109	44	52	33	23	20	6	50	57	0	0	0	0	0	0	392	41	8	51	24	352	79	136	150	96	125	5	168	414	275	26	21	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lactobacillus taiwanensis"	64,279	9,343	4,618	14,503	18,717	642,245	68,435	1,416	10,625	3,310	217,928	139,838	318,360	15,648	757	823,602	273,049	168,111	9,105	45,264	24,838	100,717	899,447	116,854	340,863	1,317	6,618	30,702	254,643	557,792	108,598	39,699	84,695	22,363	19,570	1,680,699	191,381	1,359	62,333	79,230	30,983	50,750	144,422	21,762	105,367	18,906	4,198	93,540	192,550	42	661	34,903	45,563	131,392	482,619	226	295	10,183	140,504	201,935	78,761	285	118	8,268	12,569	45,011	41,649	13	27,501	327	130,801	287,372	256,075	109	17	69	20,889	156	121,711	9,449	6,558	60	97,790	87,419	641,374	90,000	4,860	68	109,592
"Podoviridae sp. ctlMy11"	6	1,462	1,926	27	474	707	6	7,780	5,466	327	812	106	39	1,224	465	6,878	564	354	11	4,487	1,335	975	2,056	14	8	4,635	4,316	5,519	1,144	109	22	480	1,120	1,430	2,491	143	28	2,485	16,704	5,343	385	354	7	465	1,615	622	439	12	15	2,857	3,138	1,866	600	997	24	1,082	3,950	3,388	807	803	27	262	1,505	3,593	153	360	67	228	1,676	4	1,540	438	16	1	2	3	1,730	3	6	723	462	0	52	12	24	637	331	21	98
"Bacteroides luhongzhouii"	77	8,970	111	0	19,714	12,380	91	14,940	91	782	20,207	867	162	14,914	159	30	19,746	18,189	260	12,692	12	8,443	10,274	206	135	11,144	48	34	20,245	557	307	6,540	186	50	14,531	11,189	323	13,654	4,134	124	9,769	9,137	294	15,696	111	92	15,436	3,069	293	20,737	639	60	11,202	20,023	293	6,088	721	99	12,247	13,110	117	240	3	20	1,714	14,770	217	2,760	93	17	12,539	9,466	454	8	55	1	16,654	15,557	85	10,033	62	4	20,948	2,390	783	20,755	274	5,952	14,550
"Burkholderiales bacterium YL45"	16	178	409	14	251	304	30	817	443	111	287	29	15	389	22	2,291	731	295	43	461	104	340	381	17	38	1,011	66	3,212	670	80	87	1,140	162	1,790	1,580	568	127	10	509	4,107	354	289	85	2,386	2,894	2,719	1,181	268	258	1,000	806	1,632	368	604	294	96	380	1,123	736	597	57	210	488	4,088	249	393	200	654	943	1	1,256	829	74	1	54	102	1,548	479	59	1,559	324	0	1,082	115	104	2,367	1,276	154	968
"Duncaniella dubosii"	185,093	66,622	326	0	5	3,188	129,579	69,719	728	8	590,792	698,995	313,418	93,643	485	27	1	1,363	214,114	133,567	225	8	403,580	1,270,448	360,730	47,679	1,781	240	713	6,130,943	234,162	50,439	2,025	3	72	55,494	268,016	95,653	9,996	16	1	10	352,808	63,168	639	28	9	16,905	473,260	18,431	1,652	12	1	25	593,480	18,876	4,278	7	60	12	427,335	210	63	36	16	30	453,843	421	2	186	46	2	733,307	50	50	20	3	26	227,105	95,619	2,433	15	14	0	868,858	101,037	1,941	0	5
"Bifidobacterium pseudolongum"	2,866	2	0	12	2,380	5,785	2,431	6	87	457	4,951	1,004	3,958	428	432	103	804	4,326	9,275	532	185	3,260	8,305	514	9,294	30	39	657	3,229	3,708	23,136	0	0	0	35	152	6,283	8	24	8	0	3	11,453	43	310	33	0	7	24,121	13	230	13	0	25	16,406	30	23	10	120	10	4,183	197	45	61	17	50	9,468	0	16	326	75	69	2,806	55	15	17	8,246	121	10,840	0	97	45	7,466	383	5,514	7,391	4,003	997	3,137
"Cutibacterium acnes"	407	31	118	114	30	283	46	279	125	8	36	30	106	72	439	618	68	11	32	67	7	174	117	12	48	67	148	124	20	23	97	29	36	8	75	39	17	40	49	37	11	16	83	29	22	42	15	18	48	67	114	24	37	25	262	56	740	56	15	90	93	193	127	127	88	26	153	6	116	246	77	24	223	100	48	19	61	295	95	54	108	32	44	16	262	75	19	23	59
