scientific_name	DE-14644-S2_cleaned	DE-14645-S2_cleaned	DE-14646-S2_cleaned	DE-14647-S2_bleu_CB_2603_S4	DE-14648-S2_bleu_CB_2803_S5	DE-14649-S2_bleu_CB_3103_S6	DE-14650-S2_bleu_M9_CA_1703_S7	DE-14651-S2_bleu_M9_CA_2203_S8	DE-14652-S2_bleu_M9_CA_2403_S9	DE-14653-S2_bleu_M9_CA_2603_S10	DE-14654-S2_bleu_M9_CA_2803_S11	DE-14655-S2_bleu_M9_CA_3103_S12	DE-14656-S5_SM_CB_1703_S13	DE-14657-S5_SM_CB_2203_S14	DE-14658-S5_SM_CB_2403_S15	DE-14659-S5_SM_CB_2603_S16	DE-14660-S5_SM_CB_2803_S17	DE-14661-S5_SM_CB_3103_S18	DE-14662-S5_SM_M12_CA_1703_S19	DE-14663-S5_SM_M12_CA_2203_S20	DE-14664-S5_SM_M12_CA_2403_S21	DE-14665-S5_SM_M12_CA_2603_S22	DE-14666-S5_SM_M12_CA_2803_S23	DE-14667-S5_SM_M12_CA_3103_S24	DE-14668-S3_noir_M10_CA_1703_S25	DE-14669-S3_noir_M10_CA_2203_S26	DE-14670-S3_noir_M10_CA_2403_S27	DE-14671-S3_noir_M10_CA_2603_S28	DE-14672-S3_noir_M10_CA_2803_S29	DE-14673-S3_noir_M10_CA_3103_S30	DE-14674-S2_bleu_CF_1703_S31	DE-14675-S2_bleu_CF_2203_S32	DE-14676-S2_bleu_CF_2403_S33	DE-14677-S2_bleu_CF_2603_S34	DE-14678-S2_bleu_CF_2803_S35	DE-14679-S2_bleu_CF_3103_S36	DE-14680-S2_bleu_M9_CE_1703_S37	DE-14681-S2_bleu_M9_CE_2203_S38	DE-14682-S2_bleu_M9_CE_2403_S39	DE-14683-S2_bleu_M9_CE_2603_S40	DE-14684-S2_bleu_M9_CE_2803_S41	DE-14685-S2_bleu_M9_CE_3103_S42	DE-14686-S5_SM_CF_1703_S43	DE-14687-S5_SM_CF_2203_S44	DE-14688-S5_SM_CF_2403_S45	DE-14689-S5_SM_CF_2603_S46	DE-14690-S5_SM_CF_2803_S47	DE-14691-S5_SM_CF_3103_S48	DE-14692-S5_SM_M12_CE_1703_S49	DE-14693-S5_SM_M12_CE_2203_S50	DE-14694-S5_SM_M12_CE_2403_S51	DE-14695-S5_SM_M12_CE_2603_S52	DE-14696-S5_SM_M12_CE_2803_S53	DE-14697-S5_SM_M12_CE_3103_S54	DE-14698-S3_noir_M10_CE_1703_S55	DE-14699-S3_noir_M10_CE_2203_S56	DE-14700-S3_noir_M10_CE_2403_S57	DE-14701-S3_noir_M10_CE_2603_S58	DE-14702-S3_noir_M10_CE_2803_S59	DE-14703-S3_noir_M10_CE_3103_S60	DE-14704-S4_rose_CD_1703_S61	DE-14705-S4_rose_CD_2203_S62	DE-14706-S4_rose_CD_2403_S63	DE-14707-S4_rose_CD_2603_S64	DE-14708-S4_rose_CD_2803_S65	DE-14709-S4_rose_CD_3103_S66	DE-14710-S3_noir_CD_1703_S67	DE-14711-S3_noir_CD_2203_S68	DE-14712-S3_noir_CD_2403_S69	DE-14713-S3_noir_CD_2603_S70	DE-14714-S3_noir_CD_2803_S71	DE-14715-S3_noir_CD_3103_S72	DE-14716-S5_SM_M12_CC_1703_S73	DE-14717-S5_SM_M12_CC_2203_S74	DE-14718-S5_SM_M12_CC_2403_S75	DE-14719-S5_SM_M12_CC_2603_S76	DE-14720-S5_SM_M12_CC_3103_S78	DE-14721-S5_SM_M12_CC_2803_S77	DE-14722-S2_bleu_M9_CC_1703_S79	DE-14723-S2_bleu_M9_CC_2203_S80	DE-14724-S2_bleu_M9_CC_2403_S81	DE-14725-S2_bleu_M9_CC_2603_S82	DE-14726-S2_bleu_M9_CC_2803_S83	DE-14727-S2_bleu_M9_CC_3103_S84	DE-14728-S3_noir_M10_CC_1703_S85	DE-14729-S3_noir_M10_CC_2203_S86	DE-14730-S3_noir_M10_CC_2403_S87	DE-14732-S3_noir_M10_CC_2803_S88	DE-14733-S3_noir_M10_CC_3103_S89
Acetivibrio thermocellus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter deleyi	8.0	1.0	10.0	54.0	1.0	15.0	2.0	61.0	32.0	3.0	30.0	7.0	1.0	2.0	4.0	107.0	4.0	5.0	2.0	37.0	1.0	70.0	22.0	10.0	8.0	45.0	25.0	15.0	15.0	52.0	42.0	18.0	4.0	12.0	2.0	68.0	6.0	20.0	127.0	13.0	4.0	10.0	11.0	7.0	15.0	6.0	4.0	1.0	11.0	11.0	24.0	1.0	16.0	4.0	12.0	12.0	111.0	4.0	3.0	12.0	10.0	67.0	14.0	43.0	46.0	26.0	38.0	0.0	59.0	135.0	89.0	4.0	10.0	82.0	5.0	2.0	28.0	34.0	53.0	7.0	11.0	5.0	32.0	1.0	26.0	25.0	12.0	2.0	5.0
Achromobacter denitrificans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter insolitus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter insuavis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter piechaudii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Achromobacter seleniivolatilans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	1.0	2.0	0.0	2.0	0.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	2.0	7.0	2.0	2.0	1.0	2.0	0.0	0.0	1.0	5.0	6.0	0.0	0.0	2.0	0.0	0.0	1.0	3.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter sp. AONIH1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter sp. EB05	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter sp. M1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter spanius	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	7.0	5.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0
Achromobacter xylosoxidans	16.0	9.0	23.0	32.0	1.0	33.0	1.0	47.0	53.0	3.0	19.0	4.0	7.0	2.0	2.0	110.0	3.0	12.0	4.0	43.0	4.0	94.0	29.0	10.0	6.0	58.0	28.0	12.0	5.0	39.0	52.0	34.0	16.0	16.0	10.0	63.0	5.0	9.0	112.0	9.0	10.0	19.0	5.0	13.0	14.0	9.0	9.0	1.0	17.0	16.0	34.0	6.0	16.0	11.0	11.0	7.0	104.0	15.0	5.0	18.0	7.0	91.0	26.0	46.0	22.0	28.0	41.0	1.0	45.0	117.0	94.0	7.0	12.0	81.0	7.0	1.0	25.0	23.0	51.0	11.0	7.0	14.0	45.0	1.0	20.0	26.0	9.0	9.0	4.0
Achromobacter xylosoxidans A8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidaminobacter sp.	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcus fermentans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcus fermentans DSM 20731	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
